"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"114","F3","165_009B_171",NA,2.02,NA,38.32
"115","F3","165_009B_180",2.82,1.72,37.58,36.02
"116","F3","165_009B_182",3.43,1.98,40.08,38.74
"117","F3","165_009B_183",2.82,1.41,38.51,36.63
"118","F3","165_009B_184",3.35,1.67,39.4,38.28
"119","F3","165_009B_187",3.46,1.75,39.09,37.43
"120","F3","165_009B_192",3.56,2.08,38.13,37.75
"121","F3","165_009B_193",3.72,2.37,40.4,39.34
"122","F3","165_009B_196",2.74,0.98,39.63,39.4
"123","F3","165_009B_197",3.36,2.34,37.93,38.03
"124","F3","165_009B_198",3.32,1.82,38.18,37.58
"125","F3","165_009B_203",2.81,1.74,38.51,38.76
"126","F3","165_009B_28",3.65,2.09,39.02,37.7
"127","F3","165_009B_29",3.4,2.02,39.1,40.05
"128","F3","165_009B_31",3.47,1.9,38.35,36.84
"129","F3","165_009B_32",3.46,2.85,39.16,39.56
"130","F3","165_009B_33",3.02,1.89,38.56,37.61
"131","F3","165_009B_34",3.54,2.69,39.13,39.21
"132","F3","165_009B_35",3.64,2.86,37.57,37.24
"133","F3","165_009B_36",3.99,3.06,39.34,39.67
"134","F3","165_009B_39",NA,1.67,NA,37.06
"135","F3","165_009B_4",3.42,2.3,38.34,36.94
"136","F3","165_009B_40",3.85,2.25,37.03,35.72
"137","F3","165_009B_41",3.41,1.96,38.74,38.5
"138","F3","165_009B_42",2.95,1.9,38.23,37.47
"139","F3","165_009B_44",3.37,2.4,38.88,38.07
"140","F3","165_009B_5",3.66,1.95,37.29,36.61
"141","F3","165_009B_52",3.3,NA,37.09,NA
"142","F3","165_009B_59",3.28,2.25,38.2,37
"143","F3","165_009B_62",4.19,3.37,38.15,36.72
"144","F3","165_009B_63",3.86,2.32,37.87,37.5
"145","F3","165_009B_64",3.89,3.09,38.71,39.3
"146","F3","165_009B_65",3.32,2.49,37.81,37.78
"147","F3","165_009B_66",NA,1.93,NA,37.71
"148","F3","165_009B_67",3.42,2.26,38.87,37.01
"149","F3","165_009B_69",3.31,2.18,38.67,37.96
"150","F3","165_009B_7",3.53,2.61,39.16,39.73
"151","F3","165_009B_70",3.33,1.63,38.28,36.67
"152","F3","165_009B_71",3.27,2.21,37.3,37.07
"153","F3","165_009B_72",3.83,3.17,36.83,36.4
"154","F3","165_009B_8",3.09,1.81,39.16,37.97
"155","F3","165_009B_9",3.29,2.27,38.72,37.43
"156","F3","165_16_02",3.88,1.94,40.05,38.59
"157","F3","165_16_03",3.31,1.84,39.55,38.35
"158","F3","165_16_04",2.69,1.43,38.66,38.28
"159","F3","165_16_05",3.79,2.44,39.1,38.17
"160","F3","165_16_06",2.62,1.06,38.34,37.06
"161","F3","165_16_07",3,1.37,39.52,38.2
"162","F3","165_16_08",3.83,1.97,40.01,39.28
"163","F3","165_16_11",3.23,2.05,38.35,37.67
