"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"471","VILL","VILL_GG_0007_69",3.26,1.05,35.25,35.54
"472","VILL","VILL_GG_0007_74",NA,1.15,NA,36.67
"473","VILL","VILL_GG_0007_75",NA,1.16,NA,38.31
"474","VILL","VILL_GG_0007_77",3.72,1.59,36.83,37.25
"475","VILL","VILL_GG_0007_78",NA,1.13,NA,36.21
"476","VILL","VILL_GG_0007_801",NA,1.49,NA,35.55
"477","VILL","VILL_GG_0007_81",NA,1.43,NA,35.83
"478","VILL","VILL_GG_0007_86",NA,1.62,NA,36.61
"479","VILL","VILL_GG_0007_87",NA,1.11,NA,36.45
"480","VILL","VILL_GG_0007_88",3.51,NA,34.4,NA
"481","VILL","VILL_GG_0007_90",NA,2.5,NA,37.19
"482","VILL","VILL_GG_0007_92",NA,1.27,NA,35.7
"483","VILL","VILL_GG_009",2.97,1.13,41.49,43.27
"484","VILL","VILL_GRR1_015",2.66,0.82,40.34,40.63
"485","VILL","VILL_GRR2_002",2.11,0.68,42.43,42.26
"486","VILL","VILL_JH0249A",2.76,1.04,40.56,41.33
"487","VILL","VILL_JH0249B",2.93,1.4,41.56,43.35
"488","VILL","VILL_OMT_005",2.81,1.05,42.24,42.21
