"ID","GREEN","DEAD"
"VILL_GG_0007_95",NA,1.548
"VILL_GG_0007_96",5.311,NA
"VILL_GG_0007_97",4.774,NA
"VILL_GG_0007_98",4.198,NA
"VILL_GG_0007_99",4.5,1.46
"VILL_GG_007_104",4.546,NA
"165_009_100",3.19,1.61
"165_009_104",4.14,2.79
"165_009_106",3.21,1.86
"165_009_110",3.91,3.02
"165_009_112",3.28,2.07
"165_009_114",3.95,2.63
"165_009_12",3.43,2.11
"165_009_13",3.89,2.23
"165_009_15",3.22,NA
"165_009_15 ",NA,1.98
"165_009_164",3.16,1.43
"165_009_165",3.12,1.57
"165_009_176",3.46,1.67
"165_009_18",4.02,2.2
"165_009_185",3.13,1.57
"165_009_186",3.8,1.8
"165_009_188",3.15,1.64
"165_009_189",3.52,1.75
"165_009_19",3.46,1.99
"165_009_194",2.73,1.68
"165_009_195",2.35,1.12
"165_009_198",2.63,0.96
"165_009_199",NA,1.41
"165_009_20",3.15,2.08
"165_009_200",3.81,1.85
"165_009_21",3.58,2.05
"165_009_22",3.6,2.24
"165_009_23",3.28,2.01
"165_009_24",3.96,2.46
"165_009_25",3.56,2.22
"165_009_26",3.4,2.25
"165_009_27",3.49,2.1
"165_009_45",3.91,2.3
"165_009_46",3.2,2.42
"165_009_47",3.34,2.05
"165_009_49",3.79,2.7
"165_009_50",3.96,3.33
"165_009_51",3.52,2.45
"165_009_52",NA,1.61
"165_009_53",3.37,1.99
"165_009_54",3.75,2.51
"165_009_55",3.28,2.15
"165_009_56",3.85,2.46
"165_009_57",3.45,2.56
"165_009_58",3.82,2.48
"165_009_73",3.43,2.66
"165_009_74",3.77,2.36
"165_009_75",3.85,2.44
"165_009_76",3.17,2.02
"165_009_78",3.82,3.03
"165_009_79",3.34,2.05
"165_009_80",3.25,2.19
"165_009_81",3.69,2.51
"165_009_82",3.38,1.88
"165_009_83",3.16,1.74
"165_009_84",3.66,2.42
"165_009_85",3.74,2
"165_009_86",3.13,1.32
"165_009_88",3.31,2.17
