ID,G_parent,parent,type,tissue_collected,D_extracted,days_to_radicle,GR.M2.date,GR.cm.dy,GR.days,total_growth,notes,date,thick.1,thick.2,thick.3,tough.1,tough.2,tough.3,area,wet.g,wet.date,dry.g,dry.date,tmp.ldmc,N_wght_p_GREEN,N_wght_p_DEAD,DD_date_start,PER1_start,PER2_start,Grn.SPAD_start,date_end,PER1_end,PER2_end,Dry.SPAD_end,C_wght_p_GREEN,C_wght_p_DEAD
165_009_15,165,165_009,F3,y,y,14,5/16/22,0.46,26,11.9,,6/17/22,0.408,0.477,0.564,66,104,122,30.19,1.15,6/11/22,0.15,7/15/22,0.130434783,3.22,1.98,7/11/22,2445,2462,60.6,8/1/22,2022,2013,27.4,38.19,37.1
165_009_16,165,165_009,F3,y,y,14,5/16/22,0.28,26,7.2,,6/17/22,0.505,0.533,0.625,96,98,194,39.64,1.69,6/11/22,0.18,6/15/22,0.106508876,4.46,2.101,7/11/22,2797,3170,58.8,8/15/22,2002,2009,33.3,39.055,38.423
165_009_163,165,165_009,F3,y,y,30,6/13/22,0.57,26,14.8,,8/7/22,0.379,0.441,0.561,64,108,134,31.67,1.51,8/5/22,0.18,8/10/22,0.119205298,3.604,1.57,8/8/22,4697,4003,58.4,9/9/22,2077,2047,21.9,36.89,28.58
165_009_164,165,165_009,F3,y,y,32,6/27/22,0.67,26,17.5,,8/19/22,0.424,0.53,0.643,104,134,198,32.34,1.46,8/17/22,0.15,8/22/22,0.102739726,3.16,1.43,8/22/22,2971,2881,58.8,9/16/22,2019,2021,5.8,38.59,37.42
165_009_165,165,165_009,F3,y,y,32,6/27/22,0.59,26,15.4,,8/19/22,0.416,0.469,0.625,84,148,170,21.83,1.02,8/17/22,0.13,8/22/22,0.12745098,3.12,1.57,8/22/22,2660,2732,55.5,9/30/22,2009,2013,7.6,38.65,36.32
165_009_17,165,165_009,F3,y,y,14,,,NA,NA,,6/29/22,0.419,0.5,0.558,90,82,126,75.51,3.3,6/11/22,0.37,7/15/22,0.112121212,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA
165_009_173,165,165_009,F3,y,y,37,6/20/22,0.54,26,14,,8/15/22,0.447,0.471,0.687,76,132,212,25.21,1.15,8/13/22,0.12,8/17/22,0.104347826,4.602,1.79,8/15/22,3018,3108,66.4,9/23/22,2057,2060,29.7,37.517,38.39
165_009_176,165,165_009,F3,y,y,37,7/11/22,0.73,26,18.9,,9/5/22,0.372,0.436,0.574,108,156,178,37.52,1.55,9/4/22,0.2,9/9/22,0.129032258,3.46,1.67,9/5/22,3092,3130,68.8,9/26/22,2038,2048,28.1,38.94,36.92
165_009_18,165,165_009,F3,y,y,14,5/16/22,0.4,26,10.3,,6/17/22,0.454,0.528,0.651,38,72,108,36.15,1.37,6/11/22,0.18,6/15/22,0.131386861,4.02,2.2,7/11/22,2637,2682,60.6,8/8/22,2017,2057,16.7,38.83,38.01
165_009_185,165,165_009,F3,y,y,46,7/4/22,0.63,26,16.3,,8/29/22,0.353,0.404,0.53,110,114,152,37.48,1.63,8/27/22,0.17,8/31/22,0.104294479,3.13,1.57,8/29/22,2703,2670,58.2,9/26/22,2065,2055,22.2,39.45,39.29
